ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2018-07-19,63.01542603450223,133.13757021327382,385.0400719157861,63.01542603450223,63.01542603450223,1.662432,1.662432,1.662432,3.154880262454756,3.154880262454756,3.154880262454756,0.11067000000002958,0.11067000000002958,0.11067000000002958,1.3817782624547268,1.3817782624547268,1.3817782624547268,0.0,0.0,0.0,261.8215498609309
2018-07-20,62.975864147210245,131.2816681885214,367.2965634518151,62.975864147210245,62.975864147210245,1.662432,1.662432,1.662432,2.911920204116578,2.911920204116578,2.911920204116578,-0.09793030429544321,-0.09793030429544321,-0.09793030429544321,1.3474185084120214,1.3474185084120214,1.3474185084120214,0.0,0.0,0.0,246.3565553291726
2018-07-21,62.93630225991825,125.00085540709483,367.8036122320576,62.93630225991825,62.93630225991825,1.662432,1.662432,1.662432,2.9236566620462128,2.9236566620462128,2.9236566620462128,-0.05109230939123083,-0.05109230939123083,-0.05109230939123083,1.3123169714374439,1.3123169714374439,1.3123169714374439,0.0,0.0,0.0,246.94044164668236
2018-07-22,62.89674037262627,126.87913161665013,372.26259489172924,62.89674037262627,62.89674037262627,1.662432,1.662432,1.662432,2.959528247569705,2.959528247569705,2.959528247569705,0.020160015314998628,0.020160015314998628,0.020160015314998628,1.2769362322547066,1.2769362322547066,1.2769362322547066,0.0,0.0,0.0,249.0414201854716
2018-07-23,62.85717848533428,122.14228070670431,369.050473618622,62.85717848533428,62.85717848533428,1.662432,1.662432,1.662432,2.8619668105432527,2.8619668105432527,2.8619668105432527,-0.042194932604656836,-0.042194932604656836,-0.042194932604656836,1.24172974314791,1.24172974314791,1.24172974314791,0.0,0.0,0.0,242.7523371147544
2018-07-24,62.81761659804227,105.9866351310632,352.58449101370195,62.81761659804227,62.81761659804227,1.662432,1.662432,1.662432,2.823411607080857,2.823411607080857,2.823411607080857,-0.046152787141666256,-0.046152787141666256,-0.046152787141666256,1.2071323942225232,1.2071323942225232,1.2071323942225232,0.0,0.0,0.0,240.1776044301099
2018-07-25,62.781189740259414,136.70317557605702,373.2781212182803,62.781189740259414,62.781189740259414,1.662432,1.662432,1.662432,2.9425239764143623,2.9425239764143623,2.9425239764143623,0.10654031811760266,0.10654031811760266,0.10654031811760266,1.1735516582967598,1.1735516582967598,1.1735516582967598,0.0,0.0,0.0,247.5163458187921
2018-07-26,62.744762882476564,137.6206912226944,362.90640924575797,62.744762882476564,62.744762882476564,1.662432,1.662432,1.662432,2.9144615071500386,2.9144615071500386,2.9144615071500386,0.11067000000024933,0.11067000000024933,0.11067000000024933,1.1413595071497893,1.1413595071497893,1.1413595071497893,0.0,0.0,0.0,245.611959078711
2018-07-27,62.7083360246937,110.75771040433423,341.67968367641043,62.7083360246937,62.7083360246937,1.662432,1.662432,1.662432,2.6753869649182738,2.6753869649182738,2.6753869649182738,-0.09793030429529298,-0.09793030429529298,-0.09793030429529298,1.110885269213567,1.110885269213567,1.110885269213567,0.0,0.0,0.0,230.47740081687422
2018-07-28,62.671909166910844,104.19263164909277,357.1854846560448,62.671909166910844,62.671909166910844,1.662432,1.662432,1.662432,2.6937492631044826,2.6937492631044826,2.6937492631044826,-0.051092309391105345,-0.051092309391105345,-0.051092309391105345,1.0824095724955882,1.0824095724955882,1.0824095724955882,0.0,0.0,0.0,231.494318302628
