ds,y
2016-07-27,216.83333333333334
2016-07-28,253.0
2016-07-29,283.8333333333333
2016-07-30,318.0833333333333
2016-07-31,313.8333333333333
2016-08-01,329.375
2016-08-02,327.8333333333333
2016-08-03,327.1666666666667
2016-08-04,318.8333333333333
2016-08-05,317.875
2016-08-06,308.125
2016-08-07,319.25
2016-08-08,314.3333333333333
2016-08-09,313.7083333333333
2016-08-10,311.2916666666667
2016-08-11,285.25
2016-08-12,302.0833333333333
2016-08-13,208.625
2016-08-14,109.70833333333333
2016-08-15,110.45833333333333
2016-08-16,94.875
2016-08-17,171.79166666666666
2016-08-18,177.33333333333334
2016-08-19,270.625
2016-08-20,97.375
2016-08-21,113.25
2016-08-22,220.70833333333334
2016-08-23,304.0416666666667
2016-08-24,306.5
2016-08-25,292.2083333333333
