ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2020-04-25,198.43289414236284,224.68113229534478,392.771807705356,197.65877878940694,199.12846507733207,0.170106,0.170106,0.170106,0.5455791643860873,0.5455791643860873,0.5455791643860873,-0.010534319059892534,-0.010534319059892534,-0.010534319059892534,0.38600748344597985,0.38600748344597985,0.38600748344597985,0.0,0.0,0.0,306.6937467152661
2020-04-26,198.4811033630621,229.45528422200618,394.34198759825824,197.69598605929903,199.18983442682023,0.170106,0.170106,0.170106,0.5802385530081173,0.5802385530081173,0.5802385530081173,0.007806243580075045,0.007806243580075045,0.007806243580075045,0.40232630942804215,0.40232630942804215,0.40232630942804215,0.0,0.0,0.0,313.6474915778998
2020-04-27,198.5293125837614,239.8832012326184,401.5742618872788,197.73395746440153,199.25041736023192,0.170106,0.170106,0.170106,0.6026726538193041,0.6026726538193041,0.6026726538193041,0.0151996545456533,0.0151996545456533,0.0151996545456533,0.4173669992736508,0.4173669992736508,0.4173669992736508,0.0,0.0,0.0,318.17750025953904
2020-04-28,198.57752180446067,240.94377903094642,402.0728103889449,197.77276720719095,199.30555250787467,0.170106,0.170106,0.170106,0.617954956458504,0.617954956458504,0.617954956458504,0.01682898429441098,0.01682898429441098,0.01682898429441098,0.4310199721640929,0.4310199721640929,0.4310199721640929,0.0,0.0,0.0,321.28948564477383
2020-04-29,198.62573102515992,233.0348528935033,400.78586080720595,197.8097815060263,199.3566728446019,0.170106,0.170106,0.170106,0.6006913319924548,0.6006913319924548,0.6006913319924548,-0.012618373580897471,-0.012618373580897471,-0.012618373580897471,0.4432037055733522,0.4432037055733522,0.4432037055733522,0.0,0.0,0.0,317.93848596263825
2020-04-30,198.6739402458592,235.96638297695353,409.6356764198836,197.84679580486173,199.4156162741607,0.170106,0.170106,0.170106,0.6232967062451009,0.6232967062451009,0.6232967062451009,-0.0006760899999935076,-0.0006760899999935076,-0.0006760899999935076,0.45386679624509435,0.45386679624509435,0.45386679624509435,0.0,0.0,0.0,322.50675281783924
2020-05-01,198.72214946655848,242.33110535769902,404.8641463718609,197.88147527602558,199.4748331519334,0.170106,0.170106,0.170106,0.6170891863674832,0.6170891863674832,0.6170891863674832,-0.016006099779260652,-0.016006099779260652,-0.016006099779260652,0.4629892861467439,0.4629892861467439,0.4629892861467439,0.0,0.0,0.0,321.35143899407444
2020-05-02,198.77035868725778,238.9154142850342,406.5785203052201,197.91847323400154,199.53397206930268,0.170106,0.170106,0.170106,0.6301548999871833,0.6301548999871833,0.6301548999871833,-0.010534319059933617,-0.010534319059933617,-0.010534319059933617,0.47058321904711686,0.47058321904711686,0.47058321904711686,0.0,0.0,0.0,324.02647418624326
2020-05-03,198.81856790795703,247.74898247505774,412.13173603967755,197.95665189980386,199.5931109866718,0.170106,0.170106,0.170106,0.654604656710642,0.654604656710642,0.654604656710642,0.007806243580049537,0.007806243580049537,0.007806243580049537,0.47669241313059246,0.47669241313059246,0.47669241313059246,0.0,0.0,0.0,328.9661283010467
2020-05-04,198.86677712865634,254.36471296265086,413.65829555416144,197.9926365451547,199.64928622048453,0.170106,0.170106,0.170106,0.6666971097587424,0.6666971097587424,0.6666971097587424,0.015199654545644946,0.015199654545644946,0.015199654545644946,0.48139145521309745,0.48139145521309745,0.48139145521309745,0.0,0.0,0.0,331.4506826673675
